"","geneSet","description","link","size","overlap","expect","enrichmentRatio","pValue","FDR","overlapId","userId","CellType","Comparison","DB","Direction"
"1","GO:0006397","mRNA processing","http://amigo.geneontology.org/amigo/term/GO:0006397",407,16,4.03442085544802,3.96587281626652,2.5986630276531e-06,0.00211011437845432,"12877;18795;21841;56194;67039;67040;68675;72587;74200;74213;74320;83486;192196;214498;218543;432508","Cdc73;Prpf40a;Plcb1;Khdc4;Pan3;Luc7l2;Tia1;Cpeb1;Rbm5;Cpsf6;Rbm25;Fam172a;Srek1;Rbm26;Ddx17;Wdr33","Astro","FCDvsNT","BP","Down"
"2","GO:1903311","regulation of mRNA metabolic process","http://amigo.geneontology.org/amigo/term/GO:1903311",221,11,2.19068061192632,5.02127053122885,1.20893107534714e-05,0.00490826016590939,"12877;21841;26383;67039;67040;68675;83486;214498;218543;233833;432508","Cdc73;Tia1;Cpeb1;Tnrc6a;Fto;Rbm5;Cpsf6;Rbm25;Fam172a;Srek1;Ddx17","Astro","FCDvsNT","BP","Down"
"3","GO:0016458","gene silencing","http://amigo.geneontology.org/amigo/term/GO:0016458",162,9,1.60583827661567,5.60454943132109,3.28074284012825e-05,0.00887987728728046,"67040;68675;71148;72068;74355;76850;233833;320817;100043597","Mier1;Ago4;Tnrc6a;Srcap;Cnot2;Atad2b;Fam172a;Ddx17;Smchd1","Astro","FCDvsNT","BP","Down"
"4","GO:0006397","mRNA processing","http://amigo.geneontology.org/amigo/term/GO:0006397",407,51,19.0602560099906,2.67572481572482,1.08342446125675e-10,8.79740662540485e-08,"11834;12455;12877;18789;18795;20624;21841;22258;24018;54614;56194;56195;56417;66660;66874;66880;67039;67040;67493;67684;69131;71514;71701;73473;74200;74213;74320;83486;100715;101471;108062;114642;170791;192196;214498;214627;216578;218543;219249;224432;230908;231464;236732;269061;269254;269966;272009;331401;338351;432508;664883","Cdc73;Setx;Prpf40a;Aqr;Plcb1;Rbm39;Rsrc1;Khdc4;Adar;Ptbp2;Srsf12;Rngtt;Sfpq;Tardbp;Cnot6l;Brdt;Luc7l2;Tia1;Cpeb1;Nup98;Phrf1;Tent4b;Sltm;Rbm5;Usp4;Cpsf6;Papolg;Pnpt1;Ncbp3;Mettl16;Luc7l3;Cdk12;Eftud2;Nova1;Rbm25;Papola;Tent2;Srek1;Tdrd3;Rbm26;Ddx17;Ccnt1;Prpf40b;Scaf4;Wdr33;Iws1;Cpsf7;Rbm10;Akap17b;Thoc2;Cstf2","Excitatory","FCDvsNT","BP","Down"
"5","GO:0016569","covalent chromatin modification","http://amigo.geneontology.org/amigo/term/GO:0016569",434,49,20.324695597877,2.41086021505376,8.82459705309202e-09,3.58278640355536e-06,"11909;11920;12648;12753;13990;14050;14897;15201;17765;18760;20591;22289;26419;52615;54169;57261;69188;71148;71175;71514;72895;73473;75302;75560;75605;76073;76719;79221;94246;107823;108155;109263;110616;214133;214498;214899;217031;217588;225131;225876;225888;228790;233532;234135;235441;235626;320595;321006;328572","Trip12;Kdm5b;Cdc73;Atf2;Asxl1;Tet2;Mier1;Rlf;Sfpq;Eya3;Kmt2e;Nsd2;Clock;Mtf2;Ep400;Smarcad1;Setd5;Kdm5a;Rsf1;Nsd3;Atm;Usp3;Dcaf1;Setd2;Suz12;Tada2a;Kansl1;Asxl2;Hdac9;Prkd1;Mbip;Atxn3;Arid4b;Kat6b;Mapk8;Nipbl;Ep300;Chd1;Brd4;Wac;Iws1;Kmt5b;Kdm2a;Pcgf5;Hells;Kdm6a;Ogt;Phf8;Kdm5c","Excitatory","FCDvsNT","BP","Down"
"6","GO:1903311","regulation of mRNA metabolic process","http://amigo.geneontology.org/amigo/term/GO:1903311",221,31,10.3496721823291,2.99526395173454,4.1348664270302e-08,1.11917051291618e-05,"12455;12877;15568;17876;18789;21841;52477;66660;67039;67040;67493;71701;73473;74326;80912;83486;214498;218543;227331;229096;230908;231464;233833;234069;234594;236732;269061;269966;272009;432508;664883","Gigyf2;Cdc73;Angel2;Myef2;Ythdf3;Srsf12;Pum1;Hnrnpr;Tardbp;Cnot6l;Tia1;Cpeb1;Nup98;Tnrc6a;Elavl1;Pcid2;Cnot1;Sltm;Rbm5;Cpsf6;Pnpt1;Mettl16;Nova1;Rbm25;Papola;Srek1;Ddx17;Ccnt1;Iws1;Cpsf7;Rbm10","Excitatory","FCDvsNT","BP","Down"
"7","GO:0033044","regulation of chromosome organization","http://amigo.geneontology.org/amigo/term/GO:0033044",318,37,14.8922884795504,2.48450733752621,2.91498834847914e-07,5.91742634741266e-05,"11920;14897;15260;17222;17765;18760;24086;26419;52563;57261;69188;71148;71175;71514;72400;72895;73139;73473;75302;101185;105377;108155;214627;214899;215351;217031;217232;218973;224023;225876;228012;233789;234069;234135;320595;320817;328572","Trip12;Tlk1;Anapc1;Mier1;Sfpq;Kmt2e;Mtf2;Pot1a;Setd5;Kdm5a;Smg1;Pcid2;Nsd3;Tent4b;Atm;Senp6;Cenpv;Tada2a;Cdc27;Tlk2;Asxl2;Atad2b;Prkd1;Slf1;Mapk8;Wdhd1;Pinx1;Nipbl;Ep300;Klhl22;Hira;Brd4;Iws1;Cdc23;Kdm2a;Ogt;Phf8","Excitatory","FCDvsNT","BP","Down"
"8","GO:0043631","RNA polyadenylation","http://amigo.geneontology.org/amigo/term/GO:0043631",46,12,2.15423040899157,5.5704347826087,8.97609001349053e-07,0.000145771701819086,"12455;12877;18789;71701;74320;100715;108062;214498;214627;216578;269061;432508","Cdc73;Cpeb1;Tent4b;Cpsf6;Papolg;Pnpt1;Papola;Tent2;Ccnt1;Wdr33;Cpsf7;Cstf2","Excitatory","FCDvsNT","BP","Down"
"9","GO:0031123","RNA 3'-end processing","http://amigo.geneontology.org/amigo/term/GO:0031123",93,16,4.35529191383078,3.6736917562724,5.79968887026716e-06,0.000604413676026261,"12455;12877;18130;18789;70422;71701;72656;74320;108062;214498;214627;216578;230594;236790;269061;432508","Cdc73;Ints8;Tut4;Cpeb1;Tent4b;Cpsf6;Papolg;Pnpt1;Ints2;Papola;Ints6;Ccnt1;Wdr33;Cpsf7;Ints6l;Cstf2","Excitatory","FCDvsNT","BP","Down"
"10","GO:0006403","RNA localization","http://amigo.geneontology.org/amigo/term/GO:0006403",173,23,8.10177958164221,2.83888246628131,5.86936269941774e-06,0.000604413676026261,"11920;12877;59015;65246;66118;66874;71514;71701;72416;73473;74213;75826;97112;170762;218210;226747;227720;234069;235626;269113;269966;331401;432508","Ahctf1;Nup214;Nup160;Nmd3;Sfpq;Nup54;Cpeb1;Nup98;Pcid2;Atm;Setd2;Cpsf6;Sarnp;Pnpt1;Ncbp3;Nup153;Xpo7;Rbm26;Nup155;Senp2;Lrpprc;Iws1;Thoc2","Excitatory","FCDvsNT","BP","Down"
