"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Igfbp5",0,0.622111465931113,0.275,0.131,0
"Scg2",0,0.858208990619014,0.53,0.337,0
"Rgs2",0,0.693179943581067,0.255,0.098,0
"Rgs4",0,0.636288886180443,0.388,0.199,0
"Sccpdh",0,0.696570500863082,0.321,0.128,0
"Pde1a",0,0.563628717840846,0.804,0.584,0
"Hpcal4",0,0.699421345276216,0.412,0.238,0
"Trnp1",0,0.674471238240925,0.34,0.175,0
"Efhd2",0,0.795293651242736,0.41,0.199,0
"Rheb",0,1.04981275433083,0.559,0.279,0
"Uchl1",0,0.729590880280703,0.57,0.398,0
"Nptx2",0,0.664619658533295,0.277,0.115,0
"Npy",0,1.55492827430018,0.579,0.252,0
"Cck",0,1.03658050262548,0.741,0.533,0
"Zwint",0,0.675990691814247,0.633,0.464,0
"Mif",0,0.704789712355725,0.473,0.274,0
"Chga",0,0.695302839273422,0.468,0.269,0
"Hmgcs1",0,0.633524163515829,0.359,0.178,0
"Nefm",0,0.699676560353611,0.364,0.195,0
"Tsix",0,0.519544298447112,0.276,0.125,0
"Xist",0,0.775747303032,0.373,0.164,0
"mt-Nd1",1.46457366616205e-305,0.679907368190192,0.527,0.343,4.40119032418358e-301
"Cplx1",8.32918928629179e-303,0.616295026688118,0.403,0.23,2.50300467242355e-298
"Tmsb10",4.40277335397168e-295,0.609436045541929,0.422,0.241,1.32307742060203e-290
"Prdx5",5.43966701905655e-292,0.578163169303076,0.388,0.213,1.63467433589668e-287
"Sst",1.50468311914389e-286,0.562232377493555,0.445,0.263,4.5217232413393e-282
"Dbi",5.86068301440391e-276,0.522173875381114,0.366,0.199,1.76119385265852e-271
"Mef2c",4.58205436341897e-269,0.385401233286011,0.86,0.736,1.37695315675104e-264
"Atp6v1e1",4.58905744234735e-263,0.606682401857152,0.511,0.335,1.3790576519998e-258
"Pcdh15",4.51712900241615e-258,0.544600738159548,0.693,0.49,1.35744243651608e-253
"Prkar1b",3.461736130604e-257,0.572148174089634,0.564,0.403,1.04028632460781e-252
"Tpm1",1.57197806547128e-256,0.593311492996161,0.492,0.329,4.72395128454774e-252
"mt-Nd4",7.68692214505959e-256,0.679922403552979,0.554,0.388,2.30999697381186e-251
"Cfl1",8.17090852726128e-255,0.56079305496661,0.46,0.285,2.45543972152729e-250
"6330403K07Rik",2.79438319121476e-249,0.55826185863159,0.383,0.223,8.39740092791949e-245
"Pkm",8.79011286061491e-246,0.562821901458709,0.511,0.339,2.64151681574339e-241
"Dab1",1.00790740482307e-242,-0.831445662247286,0.483,0.614,3.02886254223382e-238
"Vgf",1.69408281008337e-242,0.557490355410083,0.405,0.25,5.09088825258153e-238
"Nme1",1.45035439386227e-240,0.515049656686671,0.401,0.236,4.35845998899552e-236
"Chchd10",1.3594450025594e-239,0.534073956357652,0.487,0.313,4.08526817719124e-235
"Gria2",1.82107104167861e-236,-0.395060862685913,0.869,0.885,5.47250058734839e-232
"Pgam1",4.67480492498929e-236,0.529875105347528,0.448,0.281,1.40482562800853e-231
"Tubb5",9.64676788389625e-235,0.515290527688382,0.435,0.268,2.89895021678966e-230
"Snap25",8.46692535728564e-234,0.333983193867453,0.925,0.871,2.54439573911791e-229
"Selenow",6.78384922351234e-233,0.543289881673454,0.488,0.32,2.03861453015769e-228
"Shisa6",3.0756639243251e-232,-0.832414477055289,0.112,0.273,9.24267765898937e-228
"Arpp19",3.40073107482923e-231,0.485473436389553,0.443,0.279,1.02195369529693e-226
"Dynlrb1",7.153169741347e-230,0.482976939151077,0.29,0.153,2.14959903897219e-225
"Aldoa",3.87419897058495e-228,0.605806281531621,0.576,0.428,1.16423553265048e-223
"Auts2",2.24390657814325e-227,-0.631256623177897,0.58,0.691,6.74316365797828e-223
"mt-Co1",2.91817849102986e-227,0.654188600233089,0.63,0.489,8.76941818339383e-223
"Tuba4a",1.81771744112397e-226,0.526334161006873,0.45,0.285,5.46242268232163e-222
"Grik2",4.03289585085822e-224,-0.661702556810135,0.568,0.678,1.2119255321414e-219
"Eef2",9.58589581603782e-223,0.477774793922594,0.355,0.205,2.88065755167753e-218
"mt-Nd5",3.39938437226975e-221,0.482965158051335,0.264,0.138,1.02154899771078e-216
"Rasgrf1",1.13094392809293e-220,-0.660457687417788,0.392,0.536,3.39859959831207e-216
"Ldha",1.21170562009775e-220,0.457968109957729,0.29,0.155,3.64129655895574e-216
"Slc17a7",7.02659279926003e-220,0.460109590357866,0.728,0.609,2.11156140210563e-215
"Malat1",2.6570365166454e-218,-0.556942822614652,0.999,0.998,7.98466043617109e-214
"1810037I17Rik",8.64114029400465e-217,0.407024763184861,0.252,0.127,2.59674906975134e-212
"Gria1",3.56443412262538e-216,-0.742041606176779,0.597,0.687,1.07114809819015e-211
"Stmn2",4.85284959576563e-215,0.514749512138439,0.583,0.428,1.45832983202353e-210
"Ywhag",2.37791432261313e-214,0.576660471560773,0.54,0.399,7.14587033088471e-210
"Pmepa1",7.84668906272245e-210,0.487913305139369,0.31,0.18,2.35800853023872e-205
"mt-Co3",8.53612287208644e-210,0.493805061315958,0.721,0.584,2.56519028429069e-205
"Dpp10",1.31480973521924e-209,0.345467997737691,0.841,0.633,3.95113473530734e-205
"Map1lc3a",3.57770159796073e-209,0.435930834606045,0.352,0.204,1.07513510720318e-204
"Fabp5",1.9350122563838e-208,0.418213030074727,0.311,0.171,5.81490533165894e-204
"Ckb",2.24516692780071e-208,0.498977954841133,0.561,0.401,6.74695113473391e-204
"Iqgap2",3.37329601836231e-206,-0.763401741564134,0.142,0.291,1.01370918647806e-201
"Grin2a",1.60938624061359e-205,-0.670085463024294,0.656,0.723,4.83636659166791e-201
"Atp6v1b2",1.09481491427727e-204,0.550324513635551,0.554,0.416,3.29002829889462e-200
"mt-Atp6",6.44635631780258e-204,0.452615770822391,0.719,0.574,1.93719453706285e-199
